id	ismarine	cvgt
Scomber_japonicus	True	False
Scomber_scombrus	True	False
Thunnus_atlanticus	True	False
Thunnus_alalunga	True	False
Thunnus_orientalis	True	False
Thunnus_thynnus	True	False
Thunnus_albacares	True	False
Thunnus_obesus	True	False
Katsuwonus_pelamis	True	False
Euthynnus_alletteratus	False	True
Sarda_sarda	False	True
Acanthocybium_solandri	True	False
Trichiurus_lepturus	False	True
Lepidopus_caudatus	True	False
Aphanopus_carbo	True	False
Paradiplospinus_antarcticus	True	False
Gempylus_serpens	True	False
Ruvettus_pretiosus	True	False
Centrolophus_niger	True	False
Schedophilus_ovalis	True	False
Schedophilus_velaini	True	False
Schedophilus_medusophagus	True	False
Seriolella_brama	True	False
Psenopsis_anomala	True	False
Arripis_trutta	False	True
Pomatomus_saltatrix	False	True
Kali_macrura	True	False
Myoxocephalus_scorpius	False	True
Myoxocephalus_quadricornis	False	True
Taurulus_bubalis	False	True
Cottunculus_thomsonii	True	False
Leocottus_kesslerii	False	True
Xeneretmus_latifrons	True	False
Liparis_fabricii	True	False
Liparis_montagui	True	False
Cyclopterus_lumpus	True	False
Lycodes_terraenovae	True	False
Lycodapus_antarcticus	True	False
Zoarces_viviparus	False	True
Anarhichas_lupus	True	False
Anarhichas_minor	True	False
Pholis_gunnellus	True	False
Spinachia_spinachia	False	True
Gasterosteus_aculeatus	False	True
Eutrigla_gurnardus	False	True
Chelidonichthys_cuculus	False	True
Chelidonichthys_obscurus	True	False
Chelidonichthys_kumu	False	True
Chelidonichthys_lucerna	False	True
Lepidotrigla_cavillone	False	True
Trigla_lyra	False	True
Sebastes_constellatus	True	False
Sebastes_umbrosus	True	False
Sebastes_chlorostictus	True	False
Sebastes_nigrocinctus	True	False
Sebastes_rubrivinctus	True	False
Sebastes_hopkinsi	True	False
Sebastes_ovalis	True	False
Sebastes_melanops	True	False
Sebastes_serranoides	True	False
Sebastes_flavidus	True	False
Sebastes_mystinus	True	False
Sebastes_entomelas	True	False
Sebastes_paucispinis	True	False
Sebastes_miniatus	True	False
Sebastes_pinniger	True	False
Sebastes_nebulosus	True	False
Sebastes_auriculatus	True	False
Sebastes_chrysomelas	True	False
Sebastes_carnatus	True	False
Sebastes_caurinus	True	False
Sebastes_maliger	True	False
Sebastes_semicinctus	True	False
Sebastes_elongatus	True	False
Sebastes_diploproa	True	False
Sebastes_aurora	True	False
Sebastes_melanostomus	True	False
Sebastes_ruberrimus	True	False
Sebastes_alutus	True	False
Sebastes_viviparus	True	False
Sebastes_ciliatus	True	False
Sebastes_proriger	True	False
Sebastes_brevispinis	True	False
Helicolenus_dactylopterus	True	False
Sebastolobus_altivelis	True	False
Pontinus_kuhlii	True	False
Pontinus_longispinis	True	False
Dendrochirus_biocellatus	True	False
Pterois_antennata	True	False
Scorpaenodes_minor	True	False
Scorpaenodes_guamensis	False	True
Scorpaena_elongata	True	False
Scorpaena_scrofa	False	True
Scorpaenopsis_possi	True	False
Scorpaena_notata	False	True
Scorpaena_porcus	False	True
Scorpaenopsis_diabolus	True	False
Scorpaena_maderensis	False	True
Scorpaena_onaria	True	False
Scorpaenopsis_macrochir	False	True
Caracanthus_unipinna	True	False
Neomerinthe_hemingwayi	True	False
Synanceia_verrucosa	True	False
Onigocia_bimaculata	True	False
Epinephelus_guttatus	True	False
Epinephelus_tauvina	True	False
Epinephelus_aeneus	False	True
Mycteroperca_fusca	True	False
Epinephelus_marginatus	True	False
Epinephelus_costae	True	False
Mycteroperca_rubra	True	False
Cephalopholis_sonnerati	True	False
Belonoperca_chabanaudi	True	False
Rypticus_saponaceus	True	False
Grammistops_ocellatus	True	False
Aporops_bilinearis	True	False
Liopropoma_lunulatum	True	False
Serranus_cabrilla	True	False
Serranus_atricauda	True	False
Serranus_scriba	False	True
Serranus_hepatus	True	False
Serranus_accraensis	True	False
Odontanthias_chrysostictus	True	False
Cryodraco_atkinsoni	True	False
Cryodraco_antarcticus	True	False
Chionobathyscus_dewitti	True	False
Channichthys_rhinoceratus	True	False
Chaenocephalus_aceratus	True	False
Chionodraco_myersi	True	False
Chionodraco_rastrospinosus	True	False
Chionodraco_hamatus	True	False
