node	ismarine
Danio_aesculapii	False
n260	False
n263	False
Danio_nigrofasciatus	False
n267267	False
n272272	False
Microdevario_gatesi	False
Microdevario_kubotai	False
Devario_sondhii	False
Microrasbora_rubescens	False
n278	False
n286	False
Barilius_barila	False
Barilius_vagra	False
n310	True
Chrysiptera_rex	True
n312	True
Chromis_viridis	True
Amphiprion_melanopus	True
Pomacentrus_amboinensis	True
Andinoacara_biseriatus	False
n317317	False
Andinoacara_latifrons	False
Andinoacara_pulcher	False
Andinoacara_rivulatus	False
Andinoacara_stalsbergi	False
n321321	True
n609	True
n682	True
n682682	True
n684	True
Stephanolepis_hispidus	True
n685685	True
Stephanolepis_cirrhifer	True
n689	True
n691691	False
Lycodapus_antarcticus	True
Lycodes_terraenovae	True
Lutjanus_analis	False
Pomatomus_saltatrix	False
n698698	False
Callochromis_macrops	False
Neolamprologus_fasciatus	False
Spathodus_erythrodon	False
n755755	False
n780780	False
n797797	False
Takifugu_ocellatus	False
n801	True
n805805	False
n809809	True
Calliclinus_geniguttatus	True
n854	True
Pavoclinus_graminis	True
Gobiesox_juradoensis	False
Gobiesox_pinniger	True
n867	False
n911911	True
Oryzias_latipes	False
Salarias_fasciatus	True
n915	True
n948	True
n949	True
Salarias_alboguttatus	True
n955955	False
n960	False
n968	True
Coryphopterus_hyalinus	False
Coryphaenoides_carapinus	True
Macruronus_novaezelandiae	True
Neoniphon_argenteus	True
Neoniphon_sammara	True
Neoniphon_aurolineatus	True
n985	True
Polymixia_japonica	True
Polymixia_nobilis	True
Galaxias_gollumoides	False
Neochanna_burrowsius	False
n14	False
n2020	False
Gobiobotia_pappenheimi	False
Microphysogobio_amurensis	False
n3131	False
Nipponocypris_temminckii	False
n38	False
Hemiculter_leucisculus	False
Hemiculter_bleekeri	False
n43	False
Ctenopharyngodon_idella	False
n4646	False
Hypophthalmichthys_nobilis	False
n4949	False
Oxygaster_anomalura	False
Parachela_maculicauda	False
n5555	False
n109	False
n113	False
n117117	False
Meda_fulgida	False
Plagopterus_argentissimus	False
n119119	False
Semotilus_atromaculatus	False
n135	False
Pseudobagrus_tokiensis	False
n136136	False
n137	False
Bagarius_yarrelli	False
n139	False
Malapterurus_microstoma	False
Pangasianodon_hypophthalmus	False
Creteuchiloglanis_kamengensis	False
Pseudexostoma_yunnanense	False
n150150	False
Characidium_fasciatum	False
n158	False
n221	False
n227227	False
Garra_orientalis	False
n239	False
n258258	False
Danio_choprae	False
Danio_kerri	False
n260260	False
Danio_rerio	False
Danio_albolineatus	False
Danio_roseus	False
n268	False
n271	False
Devario_devario	False
Devario_pathirana	False
n278278	False
Labeo_cyclorhynchus	False
Labeo_forskalii	False
Labeo_parvus	False
n310310	True
Pomacentrus_pavo	True
n312312	True
Neopomacentrus_bankieri	True
Astronotus_ocellatus	False
Crenicichla_frenata	False
